badir,idiot,1,बदिर्
badirchand,idiot,1,बदिर्चन्द्
bakland,idiot,1,बक्लंड
bhadva,pimp,2,भडुआ
bhootnika,son of a witch,3,भूत्निका
chinaal,whore,3,चिनाल्
chup,shut up,1,चुप्
chutia,fucker,5,चुतिआ
ghasti,hooker,4,घस्तिइ
chutiya,fucker,5,चुतिया
haraami,bastard,5,हरामी
haraam,bastard,5,हरामी
hijra,transsexual,3,हिज़डा
hinjda,transsexual,3,हिज़डा
jaanvar,animal,1,जान्वर
kutta,dog,2,कुत्त
kutiya,bitch,3,कुतिय
khota,donkey,1,खोता
auladheen,sonless,2,औलधीन
jaat,breed,1,जाट
najayaz,illegitimate,3,नजय
gandpaidaish,badborn,2,गन्द पैदाइश
saala,sister�s husband,2,साला
kutti,bitch,2,कुत्ती
soover,swine,3,सूवेर
tatti,shit,3,टट्टी
potty,shit,3,पॉटी
bahenchod,sister fucker,9,बहनचोद
bahanchod,sister fucker,9,बहनचोद
bahencho,sister fucker,9,बहनचोद
bancho,sister fucker,7,बहनचोद
bahenke,sister�s,6,बहनचोद
laude,dick,7,लौडे
land,dick,7,लंड
takke,balls,7,टट्टे
betichod,daughter fucker,9,बेटीचोद
bhaichod,brother fucker,8,भाईचोद
bhains,buffalo,1,भैंस
jhalla,faggot,6,झल्ला
jhant,pubic,7,झाँट
nabaal,hairless,4,गंजा
pissu,bug,3,पिस्सू
kutte,dog,2,कुत्ते
kutta,dog,2,कुत्ता
maadherchod,mother fucker,10,मादरचोद
madarchod,motherfucker,10,मादरचोद
padma,fat bitch,6,कुतिया
raand,whore,9,रांड
jamai,son-in-law,5,जमाई
randwa,male prostitute,8,रंडवा
randava,male prostitute,8,रंडवा
randi,hooker,8,रंडी
randee,hooker,8,रंडी
bachachod,son fucker,8,बच्चाचोद
bachichod,daughter fucker,8,बेटीचोद
bateechod,daughter fucker,8,बेटीचोद
soower,swine,3,सूअर
bachchechod,children fucker,8,बच्चाचोद
ullu,idiot,1,उल्लू
pathe,idiot,1,पट्ठा
banda,semi-dick,7,
booblay,boobs,7,बुब्ले
booby,boobs,7,स्तन
buble,boobs,7,स्तन
babla,boobs,7,स्तन
bhonsriwala,fucker,8,भोसड़ीवाला
bhonsdiwala,fucker,8,भोसड़ीके
ched,pussy,8,छेद
chut,pussy,8,चूत
chod,fuck,7,चोद
chodu,fucker,7,चोदू
chodra,fucker,7,चोद राहा
choochi,boobs,8,चूची
chuchi,boobs,8,चूची
gaandu,asshole,9,गाँड़ू
gandu,asshole,9,गाँड़ू
gaand,ass,9,गांड़
lavda,dick,8,लौड़े
lawda,dick,8,लौड़े
lauda,dick,8,लौडा
lund�,dick,8,लंड
balchod,hair fucker,7,बालचोद
lavander,dick head,8,लंवेंडर
muth,masturbate,7,मूठ
maacho,mother fucker,10,मॉचो
mammey,boobs,8,
tatte,boobs,8,टट्टे
toto,penis,8,लंड
toota,broken,7,टूटा
bakar,gossip,2,बक़र
bhadwe,pimp,7,भड़वे
bhosadchod,ass fucker,9,भोसड़चोद
bhosad,pussy,8,भोसड़
bumchod,ass fucker,9,बमचोद
bum,ass,8,बम
bum,ass,8,बमचोद
bur,pussy,9,चूतड़
chatani,ketchup,1,चटनी
cunt,pussy,8,कंट
cuntmama,pussy,8,कंटमामा
chipkali,lizzard,1,छिपकली
pasine,sweat,1,पसीना
jhaat,cunt,8,झाट
jhatu,cunt,8,झाटु
chodela,fucked up,6,चोदेला
भगत,saint fucker,7,भगतचोद
chhola,clit,7,छोला
chudai,fucking,7,चुदाई
chudaikhana,whore house,9,चुदाईखाना
chunni,clit,8,चुन्नी
choot,pussy,8,चूत
bhoot,ghost,1,भूत
bhotnike,asshole,7,भूतनीके
dhakkan,idiot,1,ढक्कन
bhajiye,snack,1,भजिया
fateychu,torn pussy,9,फटेचू
gandnatije,Bad result,2,गाँड़नतीजे
lundtopi,condom,4,लंडटोपी
gaandu,ass,8,गाँड़ू
gaandfat,ass,8,गाँड़ूफाड
gaandmasti,ass,8,गाँड़ूमस्ती
makhanchudai,fucking,8,"चुदाईमहान
"
gaandmarau,ass fuck,9,गांड़मारना
gandu,faggot,8,गाँड़ू
chaatu,licker,6,छाटू
beej,semen,6,बीज
choosu,sucker,7,चूस
fakeerchod,saint fucker,8,फकीरचोद
lundoos,dick,8,लंडुस
shorba,semen,7,शोबा
binbheja,brainless,3,बीन भेजा
bhadwe,pimp,6,भड़वा
parichod,angel fucker,9,परी चोद
nirodh,condom.,5,निरोध
pucchi,pussy,8,पुची
baajer,fucker,8,बाजेर
choud,fuck,8,चोद
bhosda,pussy,9,भोसड़ा
sadi,stinking,5,साड़ी
choos,suck,5,चूस
maka,mother�s,7,माका
chinaal,prostitute,7,छिनाल
gadde,boobs,7,गद्दे
joon,bug,3,जूं
chullugand,handful dirt,4,चुल्लूगाँड़
doob,drown,1,दूब
khatmal,bug,1,खटमल
gandkate,ass,6,गाँड़कटे
bambu,bamboo,4,बंबू
lassan,garlic,1,लहसुन
danda,stick,2,डंडा
keera,bug,2,कीड़ा
keeda,bug,2,कीड़ा
hazaarchu,thousand pussy,7,हजारचूत
paidaishikeeda,born bug,5,पैदाइशिकीड़ा
kali,nigger,5,काली
kalwa,nigger,7,कलवा
kalva,nigger,7,कलवा
safaid,american,2,सफेद
firang,outsider,6,"
फिरंग"
poot,son,2,पुत
firangi,outsider,6,फिरंगी
behendi,sister,5,बेहेन्दि
chus,sucker,6,छुस्
machudi,mother fucker,10,माचुदि
chodoonga,fuck,8,चोदुगा
baapchu,father pussy,9,बापचुत
laltern,lantern,5,लालटेन
suhaagchudai,wedding fuck,8,सुहागचुदाई
raatchuda,night fuck,7,रातचोदा
kaalu,migga,6,कालु
neech,low caste,7,नीच
chikna,gay,6,चिकना
meetha,gay,6,मीठा
beechka,gay,6,बीच का
chooche,boobs,8,चूची
patichod,husband,8,पतिचोद
rundi,prostitute,7,रंडी
makkhi,fly,1,मक्खी
biwichod,wife fucker,9,बीवीचोद
chodhunga,fuck,8,चोदधुँगा
haathi,elephant,1,हाथी
kute,dog,2,कुत्ते
jhanten,pubic hair,8,झाँट
kaat,cut,3,काट
gandi,filthy,3,गंदधी
gadha,donkey,1,गधा
bimaar,ill,2,बिमार्
badboodar,smelly,2,बदबूदार
dum,tail,2,दुम्
raandsaala,sister�s brother pimp,7,राँडसाला
phudi,pussy,7,फुदि
chute,pussy,7,चूतड़
kussi,ass,7,कुसी
khandanchod,family fucker,9,ख़ानदान
ghussa,fuck,6,घुस्सा
maarey,dead,4,मारे
chipkili,lizard,1,छिपकली
unday,eggs,1,अंडे
budh,cunt,7,बुध
chaarpai,cot,1,चारपाई
chodun,fuck,5,चोदन
chatri,condom,3,छत्रि
chode,fuck,6,चोदे
chodho,fuck,6,चोदो
mulle,Derogatory abuse to muslims,6,मुल्ले
mullekatue,Derogatory abuse to muslims,6,मुल्लेकतुए
mullikatui,Derogatory Abuse to female muslim,6,मुल्लेकतुइ
mullekebaal,Derogatory Abuse to muslim,6,मुल्ले के बाल
momedan,Derogatory Abuse to muslim,6,मोमेदऩ
momedankatue,Derogatory Abuse to muslim,6,मोमेदऩकतुए
katua,dick cut,8,कतुए
chutiyap,fuck all,8,चूतियाप
chutiyapa,fuck all,8,चूतियापा
bc,sister fucker,10,बीसी
mc,mother fucker,10,अमसी
chudwai,fuck,7,चुदवाया
chudwaya,fuck,7,चुदवाइ
kutton,dog,2,कुत्तों
jungli,wild,2,जंगली
vahiyaat,disgusting,4,वाहियात
jihadi,terrorist,6,जिहादी
atankvadi,terrorist,6,आतंकवादी
atankwadi,terrorist,6,आतंकवादी
aatanki,terorist,4,आतंकी
Balatkaar,rape,6,बलात्कार